date,task,minutes,lines_changed,estimate_minutes,method
2026-07-05,#1,340,840,-,commit-delta
2026-07-06,#2,179,425,-,commit-delta
2026-07-06,#3,112,129,-,tool-duration
2026-07-06,bug1-gear-roster,45,110,-,commit-delta
2026-07-06,bug2-invitems-cols-rediagnose,15,30,-,commit-delta
2026-07-06,bug3-invtab-sizing-rediagnose,15,28,-,commit-delta
2026-07-06,bug4-attr-pip-4zone-and-bindswap,55,175,-,commit-delta
2026-07-06,bug3-gear-equipped-sort-to-top,20,45,-,commit-delta
2026-07-06,bug2-pager-button-skin-and-mgcb,25,60,-,commit-delta
2026-07-06,bug-technique-palette-scoped-to-core-kit,35,150,-,commit-delta
2026-07-06,bug5-attr-pip-container-rediagnose-and-b22-fix,20,39,-,commit-delta
2026-07-06,bug6-weapon-badge-discounted-reserve,25,42,-,commit-delta
2026-07-06,status-stale-parent-resolution-bullet-cleanup,10,22,-,commit-delta
2026-07-06,bug7-kitcount-vs-actionslots-4-sites,40,36,-,commit-delta
2026-07-06,equip-time-gate-cumulative-reservation,50,119,-,commit-delta
2026-07-06,chunkb-item1-mgcb-mirror-1846-entries,35,20310,-,commit-delta
2026-07-06,hp-swap-plus-chunkb-item2-plus-external-drop,25,75,-,commit-delta
2026-07-06,highprio2-delete-shade-flag-conclave-grant,30,95,-,commit-delta
2026-07-06,highprio3-sacrifice-heal-formula-tests,20,78,-,commit-delta
2026-07-06,highprio4-minion-rearm-scope,40,93,-,commit-delta
2026-07-06,chunkb-item3-worn-armor-theme-rung,30,112,-,commit-delta
2026-07-06,merchant-wares-backlog-audit-buysummons-test,25,76,-,commit-delta
2026-07-06,bug8-merchant-pager-page2-rootcause-nodeid-reuse,35,49,-,commit-delta
2026-07-06,bug9-displayname-underscore-iron-golem,20,18,-,commit-delta
2026-07-06,chunkc-item1-racecards-pin-and-status-cleanup,20,26,-,commit-delta
2026-07-06,chunkc-item2-coreaccent-palette-tokens,30,57,-,commit-delta
2026-07-06,chunkc-item3-corestats-basehp-bind-gap,35,33,-,commit-delta
2026-07-06,chunkc-item4-percore-report-lanes-plus-chassis-fix,50,60,-,commit-delta
2026-07-06,b19-bay-to-minion-engine-rename,40,142,-,commit-delta
2026-07-06,citymap-sees-adjacency-fog-leak-fix,15,25,-,commit-delta
